"filename", "language", "Python", "JavaScript", "HTML", "CSS", "XML", "JSON", "Database", "comment", "blank", "total"
"c:\Website\Real site\Trading Web\search\views.py", "Python", 106, 0, 0, 0, 0, 0, 0, 38, 33, 177
"c:\Website\Real site\Trading Web\templates\base.html", "HTML", 0, 0, 69, 0, 0, 0, 0, 4, 1, 74
"c:\Website\Real site\Trading Web\templates\partial\button-contact.html", "HTML", 0, 0, 107, 0, 0, 0, 0, 0, 1, 108
"c:\Website\Real site\Trading Web\templates\partial\faq.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
"c:\Website\Real site\Trading Web\templates\partial\footer.html", "HTML", 0, 0, 223, 0, 0, 0, 0, 0, 30, 253
"c:\Website\Real site\Trading Web\templates\partial\nav-list.html", "HTML", 0, 0, 129, 0, 0, 0, 0, 0, 1, 130
"c:\Website\Real site\Trading Web\templates\partial\obsolete\button-contact copy.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
"c:\Website\Real site\Trading Web\templates\partial\obsolete\nav-list.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 4, 1, 39
"c:\Website\Real site\Trading Web\templates\partial\pagination.html", "HTML", 0, 0, 56, 0, 0, 0, 0, 5, 1, 62
"c:\Website\Real site\Trading Web\templates\partial\sidebar.html", "HTML", 0, 0, 68, 0, 0, 0, 0, 1, 0, 69
"c:\Website\Real site\Trading Web\templates\snippet\breadcrumbs.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Website\Real site\Trading Web\templates\snippet\deprecated\breadcrumbs.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"c:\Website\Real site\Trading Web\templates\snippet\learn-more.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Website\Real site\Trading Web\templates\snippet\page-title.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Website\Real site\Trading Web\templates\snippet\pagination-prev-next.html", "HTML", 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Website\Real site\Trading Web\templates\svg\contact\email.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Website\Real site\Trading Web\templates\svg\contact\phone.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Website\Real site\Trading Web\templates\svg\contact\qq.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\templates\svg\contact\wechat.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\templates\svg\contact\whatsapp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\theme\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\theme\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Website\Real site\Trading Web\theme\static\css\dist\styles.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Website\Real site\Trading Web\theme\static_src\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1613, 0, 0, 1, 1614
"c:\Website\Real site\Trading Web\theme\static_src\package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Website\Real site\Trading Web\theme\static_src\postcss.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Website\Real site\Trading Web\theme\static_src\src\styles.css", "CSS", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Website\Real site\Trading Web\theme\static_src\tailwind.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 43, 7, 72
"c:\Website\Real site\Trading Web\theme\templates\base.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Website\Real site\Trading Web\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\utils\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\utils\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Website\Real site\Trading Web\utils\migrations\0001_initial.py", "Python", 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Website\Real site\Trading Web\utils\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\utils\models.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Website\Real site\Trading Web\utils\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\utils\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"Total", "-", 1870, 29, 2625, 21, 26, 1642, 981, 572, 856, 8622
